,Name,EMI,Price,Kilometers Driven,Owner,Year of Purchase,Fuel Type,Location,History
516,2010 Hyundai i10,"₹3,848/month","₹1,73,000",-,-,-,-,-,-
517,2014 Maruti Swift Dzire,"₹8,564/month","₹3,85,000","78,797 km",1st Owner,-,Diesel,DELHI,Non-Accidental
518,2016 Maruti Baleno,"₹12,079/month","₹5,43,000",-,-,-,-,-,-
519,2012 Maruti Swift Dzire,"₹7,229/month","₹3,25,000","78,319 km",1st Owner,-,Petrol,DELHI,Non-Accidental
520,2019 Maruti Vitara Brezza,"₹18,443/month","₹8,29,099","37,696 km",1st Owner,January 2019,Diesel,DELHI,Non-Accidental
521,2015 Maruti Swift,"₹8,691/month","₹3,90,699","86,417 km",1st Owner,March 2015,Diesel,DELHI,Non-Accidental
522,2019 Hyundai Creta,"₹21,610/month","₹9,71,499","31,604 km",1st Owner,January 2019,Diesel,DELHI,Non-Accidental
523,2019 Maruti Vitara Brezza,"₹16,261/month","₹7,30,999","24,035 km",2nd Owner,February 2019,Diesel,DELHI,Non-Accidental
524,2011 Honda City,"₹7,452/month","₹3,35,000",-,-,-,-,-,-
525,2013 Maruti Swift,"₹7,585/month","₹3,41,000",-,-,-,-,-,-
526,2017 Maruti Vitara Brezza,"₹14,528/month","₹6,53,099","51,673 km",2nd Owner,-,Diesel,DELHI,Non-Accidental
527,2017 Honda City,"₹16,795/month","₹7,55,000",-,-,-,-,-,-
528,2015 Maruti Ertiga,"₹12,791/month","₹5,75,000",-,1st Owner,-,Diesel,DELHI,Non-Accidental
529,2017 Toyota Innova Crysta,"₹36,808/month","₹16,54,699","51,238 km",1st Owner,April 2017,Diesel,DELHI,Non-Accidental
530,2013 Maruti Wagon R 1.0,"₹5,761/month","₹2,59,000",-,-,-,-,-,-
531,2016 Hyundai Grand i10,"₹10,010/month","₹4,50,000","63,318 km",1st Owner,-,Petrol,DELHI,Non-Accidental
532,2016 Maruti Vitara Brezza,"₹15,371/month","₹6,90,999","54,460 km",1st Owner,March 2016,Diesel,DELHI,Non-Accidental
533,2010 Toyota Corolla Altis,"₹5,797/month","₹2,60,599","1,14,876 km",2nd Owner,June 2010,Petrol,DELHI,Non-Accidental
534,2017 Hyundai Grand i10,"₹10,143/month","₹4,56,000","45,251 km",1st Owner,-,Petrol,DELHI,Non-Accidental
535,2017 Maruti Vitara Brezza,"₹13,970/month","₹6,28,000",-,-,-,-,-,-
536,2010 Hyundai i20,"₹5,161/month","₹2,32,000",-,-,-,-,-,-
537,2014 Chevrolet Beat,"₹3,626/month","₹1,63,000",-,-,-,-,-,-
538,2019 KIA SELTOS,"₹37,328/month","₹16,78,099","10,598 km",1st Owner,November 2019,Petrol,DELHI,Non-Accidental
539,2013 Volkswagen Vento,"₹6,833/month","₹3,07,199","95,866 km",1st Owner,January 2013,Diesel,DELHI,Non-Accidental
540,2012 Maruti Swift Dzire,"₹6,480/month","₹2,91,299","90,249 km",1st Owner,July 2012,Diesel,DELHI,Non-Accidental
541,2010 Maruti Ritz,"₹4,302/month","₹1,93,399","95,950 km",1st Owner,August 2010,Petrol,DELHI,Non-Accidental
542,2015 Maruti Baleno,"₹10,195/month","₹4,58,299","71,699 km",1st Owner,December 2015,Diesel,DELHI,Non-Accidental
543,2016 Maruti Vitara Brezza,"₹13,925/month","₹6,25,999","58,078 km",1st Owner,October 2016,Diesel,DELHI,Non-Accidental
544,2016 Chevrolet Enjoy,"₹7,341/month","₹3,30,000",-,-,-,-,-,-
545,2015 Maruti Swift,"₹9,058/month","₹4,07,199","1,01,616 km",1st Owner,June 2015,Diesel,DELHI,Non-Accidental
546,2010 Maruti Ritz,"₹3,837/month","₹1,72,500",-,-,-,-,-,-
547,2018 Renault Kwid,"₹6,851/month","₹3,08,000",-,-,-,-,-,-
548,2015 Maruti Swift Dzire,"₹10,566/month","₹4,75,000",-,-,-,-,-,-
549,2018 Maruti Alto 800,"₹6,297/month","₹2,83,099","43,644 km",-,-,-,-,-
550,2012 Toyota Etios,"₹5,821/month","₹2,61,699","82,053 km",1st Owner,May 2012,Diesel,DELHI,Non-Accidental
551,2017 Mahindra Scorpio,"₹24,860/month","₹11,17,599","51,346 km",1st Owner,-,Diesel,DELHI,Non-Accidental
552,2014 Ford Ecosport,"₹10,299/month","₹4,63,000",-,-,-,-,-,-
553,2008 Honda City ZX,"₹3,644/month","₹1,63,799",-,-,-,-,-,-
554,2013 Maruti Swift Dzire,"₹6,335/month","₹2,84,799","72,772 km",1st Owner,November 2013,Diesel,DELHI,Non-Accidental
555,2018 Maruti Baleno,"₹13,903/month","₹6,25,000",-,-,-,-,-,-
556,2018 Hyundai Elite i20,"₹12,902/month","₹5,80,000",-,-,-,-,-,-
557,2017 Hyundai Elite i20,"₹13,825/month","₹6,21,499","59,420 km",2nd Owner,February 2017,Diesel,DELHI,Non-Accidental
558,2020 Honda City,"₹30,631/month","₹13,77,000",-,-,-,-,-,-
559,2016 Maruti Ertiga,"₹14,078/month","₹6,32,899","69,953 km",1st Owner,-,Diesel,DELHI,Non-Accidental
560,2017 Maruti Ertiga,"₹15,237/month","₹6,85,000",-,1st Owner,-,Diesel,DELHI,Non-Accidental
561,2012 Hyundai i20,"₹7,447/month","₹3,34,799","80,187 km",2nd Owner,September 2012,Diesel,DELHI,Non-Accidental
562,2019 Hyundai VENUE,"₹25,001/month","₹11,23,899","17,949 km",1st Owner,September 2019,Petrol,DELHI,Non-Accidental
563,2017 Hyundai Creta,"₹17,420/month","₹7,83,099","83,868 km",2nd Owner,December 2017,Diesel,DELHI,Non-Accidental
564,2018 Hyundai Creta,"₹21,688/month","₹9,75,000",-,-,-,-,-,-
565,2019 Maruti Alto 800,"₹7,719/month","₹3,47,000",-,-,-,-,-,-
566,2018 Maruti Vitara Brezza,"₹16,683/month","₹7,50,000",-,-,-,-,-,-
567,2011 Hyundai i10,"₹4,560/month","₹2,05,000",-,-,-,-,-,-
568,2018 Hyundai Creta,"₹19,773/month","₹8,88,888",-,-,-,-,-,-
569,2018 Maruti Vitara Brezza,"₹14,508/month","₹6,52,199","54,041 km",2nd Owner,June 2018,Diesel,DELHI,Non-Accidental
570,2007 Maruti Alto,"₹2,296/month","₹1,03,199","59,676 km",1st Owner,November 2007,Petrol,DELHI,Non-Accidental
571,2013 Ford Ecosport,"₹8,157/month","₹3,66,699","78,950 km",2nd Owner,September 2013,Diesel,DELHI,Non-Accidental
572,2017 Hyundai Grand i10,"₹11,367/month","₹5,11,000",-,-,-,-,-,-
573,2016 Maruti Swift,"₹10,357/month","₹4,65,599","74,123 km",1st Owner,-,Diesel,DELHI,Non-Accidental
574,2016 Honda City,"₹15,237/month","₹6,85,000",-,-,-,-,-,-
575,2018 Hyundai Creta,"₹26,555/month","₹11,93,799","44,510 km",1st Owner,March 2018,Diesel,DELHI,Non-Accidental
576,2013 Hyundai i20,"₹7,808/month","₹3,51,000",-,-,-,-,-,-
577,2014 Maruti Swift Dzire,"₹8,186/month","₹3,68,000","72,694 km",1st Owner,-,Diesel,DELHI,Non-Accidental
578,2017 Hyundai Elite i20,"₹12,975/month","₹5,83,299","74,780 km",1st Owner,March 2017,Diesel,DELHI,Non-Accidental
579,2017 Maruti Ciaz,"₹12,991/month","₹5,83,999","81,751 km",1st Owner,January 2017,Diesel,DELHI,Non-Accidental
580,2009 Honda Accord,"₹6,095/month","₹2,74,000",-,-,-,-,-,-
581,2013 Honda Amaze,"₹6,851/month","₹3,08,000",-,-,-,-,-,-
582,2008 Maruti Swift Dzire,"₹3,470/month","₹1,56,000","98,587 km",3rd Owner,-,Petrol,DELHI,Non-Accidental
583,2010 Maruti Swift Dzire,"₹5,672/month","₹2,55,000",-,-,-,-,-,-
584,2012 Volkswagen Polo,"₹5,428/month","₹2,44,000",-,-,-,-,-,-
585,2012 Volkswagen Polo,"₹5,405/month","₹2,43,000",-,-,-,-,-,-
586,2018 Maruti Dzire,"₹14,486/month","₹6,51,199","52,097 km",1st Owner,January 2018,Diesel,DELHI,Non-Accidental
587,2018 Hyundai Creta,"₹20,665/month","₹9,29,000",-,-,-,-,-,-
588,2010 Honda City,"₹8,475/month","₹3,80,999","67,564 km",3rd Owner,August 2010,Petrol,DELHI,Non-Accidental
589,2016 Hyundai Elite i20,"₹10,455/month","₹4,70,000",-,-,-,-,-,-
590,2018 Hyundai Creta,"₹24,803/month","₹11,15,000",-,-,-,-,-,-
591,2019 Maruti Vitara Brezza,"₹20,331/month","₹9,14,000","32,134 km",1st Owner,-,Diesel,DELHI,Non-Accidental
592,2011 Hyundai i10,"₹5,895/month","₹2,64,999","89,631 km",1st Owner,February 2011,Petrol,DELHI,Non-Accidental
593,2018 Maruti Vitara Brezza,"₹15,972/month","₹7,18,000",-,-,-,-,-,-
594,2018 Ford Ecosport,"₹17,224/month","₹7,74,299","47,752 km",1st Owner,-,Petrol,DELHI,Non-Accidental
595,2018 Maruti Swift,"₹11,858/month","₹5,33,099","58,099 km",1st Owner,May 2018,Petrol,DELHI,Non-Accidental
596,2018 Maruti Vitara Brezza,"₹15,700/month","₹7,05,799","61,601 km",1st Owner,-,Diesel,DELHI,Non-Accidental
597,2017 Renault Kwid,"₹6,395/month","₹2,87,499","50,360 km",3rd Owner,-,Petrol,DELHI,Non-Accidental
598,2019 Ford Ecosport,"₹19,608/month","₹8,81,499","18,721 km",1st Owner,January 2019,Diesel,DELHI,Non-Accidental
599,2017 Hyundai Elite i20,"₹14,325/month","₹6,43,999","83,618 km",2nd Owner,January 2017,Diesel,DELHI,Non-Accidental
600,2018 Toyota YARIS,"₹16,577/month","₹7,45,199","52,581 km",2nd Owner,April 2018,Petrol,DELHI,Non-Accidental
601,2009 Maruti Alto,"₹2,781/month","₹1,25,000",-,-,-,-,-,-
602,2015 Maruti Swift Dzire,"₹10,348/month","₹4,65,199","76,604 km",1st Owner,January 2015,Diesel,DELHI,Non-Accidental
603,2015 Maruti Swift,"₹8,589/month","₹3,86,099","92,086 km",1st Owner,February 2015,Diesel,DELHI,Non-Accidental
604,2008 Maruti Alto,"₹2,603/month","₹1,17,000","74,730 km",1st Owner,-,Petrol,DELHI,Non-Accidental
605,2009 Maruti A Star,"₹2,959/month","₹1,33,000","92,552 km",1st Owner,-,Petrol,DELHI,Non-Accidental
606,2014 Mahindra XUV500,"₹14,254/month","₹6,40,799","78,706 km",2nd Owner,May 2014,Diesel,DELHI,Non-Accidental
607,2015 Renault Kwid,"₹5,537/month","₹2,48,899","70,590 km",1st Owner,November 2015,Petrol,DELHI,Non-Accidental
608,2008 Maruti Swift Dzire,"₹3,888/month","₹1,74,799","89,412 km",2nd Owner,June 2008,Petrol,DELHI,Non-Accidental
609,2017 Hyundai Creta,"₹17,371/month","₹7,80,899","72,727 km",1st Owner,July 2017,Diesel,DELHI,Non-Accidental
610,2018 Maruti Vitara Brezza,"₹17,219/month","₹7,74,099","50,661 km",1st Owner,-,Diesel,DELHI,Non-Accidental
611,2012 Hyundai Verna,"₹7,935/month","₹3,56,699","1,00,752 km",1st Owner,May 2012,Diesel,DELHI,Non-Accidental
612,2019 Maruti Vitara Brezza,"₹17,188/month","₹7,72,699","46,825 km",1st Owner,January 2019,Diesel,DELHI,Non-Accidental
613,2013 Maruti Swift Dzire,"₹8,026/month","₹3,60,799","77,823 km",-,-,-,-,-
614,2014 Maruti Swift,"₹7,505/month","₹3,37,399","72,597 km",-,-,-,-,-
615,2015 Maruti Swift Dzire,"₹9,868/month","₹4,43,599","78,413 km",-,-,-,-,-
616,2018 Ford FREESTYLE,"₹12,234/month","₹5,50,000",-,-,-,-,-,-
617,2016 Toyota Innova Crysta,"₹37,259/month","₹16,75,000","16,070 km",1st Owner,-,Diesel,GURGAON,Non-Accidental
618,2018 Maruti Alto K10,"₹7,685/month","₹3,45,500",-,-,-,-,-,-
619,2018 Hyundai Creta,"₹20,516/month","₹9,22,299","30,934 km",-,-,-,-,-
620,2015 Toyota Innova,"₹18,045/month","₹8,11,199","73,147 km",-,-,-,-,-
621,2017 Tata TIGOR,"₹9,810/month","₹4,41,000",-,-,-,-,-,-
622,2019 Volkswagen Polo,"₹18,174/month","₹8,17,000",-,-,-,-,-,-
623,2013 Maruti Wagon R 1.0,"₹5,116/month","₹2,30,000","70,965 km",3rd Owner,-,Petrol,NOIDA,Non-Accidental
624,2018 Maruti Vitara Brezza,"₹16,283/month","₹7,32,000","58,827 km",1st Owner,-,Diesel,NOIDA,Non-Accidental
625,2016 Honda Jazz,"₹12,924/month","₹5,80,999","68,658 km",2nd Owner,-,Petrol,NOIDA,Non-Accidental
626,2013 Maruti Swift Dzire,"₹7,556/month","₹3,39,699","79,248 km",2nd Owner,March 2013,Diesel,NOIDA,Non-Accidental
627,2012 Maruti Swift,"₹7,223/month","₹3,24,699","1,08,897 km",1st Owner,November 2012,Diesel,NOIDA,Non-Accidental
628,2018 Hyundai Elite i20,"₹15,682/month","₹7,05,000",-,-,-,-,-,-
629,2018 Hyundai New Elantra,"₹34,216/month","₹15,38,199","44,347 km",1st Owner,August 2018,Diesel,NOIDA,Non-Accidental
630,2010 Maruti Wagon R 1.0,"₹4,291/month","₹1,92,900","71,922 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
631,2012 Maruti Swift,"₹6,380/month","₹2,86,799","95,400 km",2nd Owner,December 2012,Diesel,NOIDA,Non-Accidental
632,2018 Hyundai Grand i10,"₹9,788/month","₹4,40,000",-,-,-,-,-,-
633,2017 Hyundai Grand i10,"₹10,344/month","₹4,65,000","37,785 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
634,2014 Maruti Swift,"₹8,733/month","₹3,92,599","91,630 km",1st Owner,July 2014,Diesel,NOIDA,Non-Accidental
635,2015 Hyundai Creta,"₹17,796/month","₹8,00,000",-,-,-,-,-,-
636,2018 Toyota Corolla Altis,"₹35,035/month","₹15,75,000",-,-,-,-,-,-
637,2015 Maruti Baleno,"₹9,885/month","₹4,44,399","76,699 km",-,-,-,-,-
638,2013 Renault Scala,"₹5,459/month","₹2,45,399","1,03,633 km",-,-,-,-,-
639,2015 Maruti Ritz,"₹7,621/month","₹3,42,599",-,-,-,-,-,-
640,2014 Maruti Swift,"₹9,236/month","₹4,15,199","91,124 km",-,-,-,-,-
641,2015 Maruti Swift Dzire,"₹9,009/month","₹4,05,000","80,515 km",-,-,-,-,-
642,2014 Maruti Wagon R 1.0,"₹6,673/month","₹3,00,000","55,879 km",-,-,-,-,-
643,2012 Volkswagen Jetta,"₹9,796/month","₹4,40,399","88,973 km",2nd Owner,January 2012,Petrol,DELHI,Non-Accidental
644,2016 Maruti Vitara Brezza,"₹14,103/month","₹6,33,999","70,372 km",1st Owner,November 2016,Diesel,DELHI,Non-Accidental
645,2011 Mercedes Benz C Class,"₹19,464/month","₹8,75,000","32,626 km",2nd Owner,-,Petrol,DELHI,Non-Accidental
646,2014 Maruti Swift,"₹7,897/month","₹3,54,999","83,384 km",1st Owner,January 2014,Diesel,DELHI,Non-Accidental
647,2017 Ford Ecosport,"₹16,906/month","₹7,60,000","35,515 km",1st Owner,-,Petrol,DELHI,Non-Accidental
648,2012 Maruti Swift Dzire,"₹7,214/month","₹3,24,299","86,910 km",1st Owner,June 2012,Diesel,DELHI,Non-Accidental
649,2019 Hyundai Creta,"₹26,693/month","₹12,00,000","16,928 km",1st Owner,-,Petrol,DELHI,Non-Accidental
650,2017 Hyundai Elite i20,"₹13,013/month","₹5,85,000",-,-,-,-,-,-
651,2013 Toyota Innova,"₹16,972/month","₹7,62,999","55,401 km",1st Owner,January 2013,Diesel,DELHI,Non-Accidental
652,2014 Maruti Wagon R 1.0,"₹6,969/month","₹3,13,299","69,873 km",1st Owner,-,Petrol,DELHI,Non-Accidental
653,2015 Hyundai Creta,"₹16,577/month","₹7,45,199","72,762 km",1st Owner,January 2015,Diesel,DELHI,Non-Accidental
654,2017 Maruti Swift,"₹9,091/month","₹4,08,699","1,00,691 km",1st Owner,-,Petrol,DELHI,Non-Accidental
655,2017 Maruti Baleno,"₹15,994/month","₹7,19,000","30,406 km",1st Owner,-,Petrol,DELHI,Non-Accidental
656,2015 Mahindra XUV500,"₹19,575/month","₹8,79,999","67,807 km",1st Owner,June 2015,Diesel,DELHI,Non-Accidental
657,2014 Ford Ecosport,"₹10,010/month","₹4,50,000",-,-,-,-,-,-
658,2017 Maruti Vitara Brezza,"₹13,903/month","₹6,25,000","46,480 km",1st Owner,-,Diesel,DELHI,Non-Accidental
659,2012 Renault Duster,"₹6,727/month","₹3,02,399","97,044 km",2nd Owner,December 2012,Diesel,DELHI,Non-Accidental
660,2016 Hyundai Grand i10,"₹7,763/month","₹3,49,000",-,-,-,-,-,-
661,2016 Maruti Vitara Brezza,"₹13,823/month","₹6,21,399","72,994 km",1st Owner,May 2016,Diesel,DELHI,Non-Accidental
662,2015 Mahindra XUV500,"₹17,773/month","₹7,99,000","73,529 km",2nd Owner,-,Diesel,DELHI,Non-Accidental
663,2015 Maruti Swift,"₹9,022/month","₹4,05,599","80,910 km",1st Owner,June 2015,Diesel,DELHI,Non-Accidental
664,2016 Maruti Baleno,"₹13,422/month","₹6,03,399","67,190 km",1st Owner,-,Diesel,DELHI,Non-Accidental
665,2013 Maruti Swift,"₹6,971/month","₹3,13,399","82,519 km",1st Owner,-,Diesel,DELHI,Non-Accidental
666,2011 Maruti Alto K10,"₹3,701/month","₹1,66,399","1,18,427 km",1st Owner,November 2011,Petrol,DELHI,Non-Accidental
667,2018 Maruti Vitara Brezza,"₹15,822/month","₹7,11,299","45,737 km",1st Owner,-,Diesel,DELHI,Non-Accidental
668,2016 Maruti Vitara Brezza,"₹14,176/month","₹6,37,299","72,364 km",2nd Owner,March 2016,Diesel,DELHI,Non-Accidental
669,2017 Maruti Vitara Brezza,"₹15,802/month","₹7,10,399","79,275 km",1st Owner,February 2017,Diesel,DELHI,Non-Accidental
670,2013 Maruti Swift,"₹7,757/month","₹3,48,699","1,14,506 km",1st Owner,January 2013,Diesel,DELHI,Non-Accidental
671,2018 Toyota Fortuner,"₹63,953/month","₹28,75,000",-,-,-,-,-,-
672,2016 Hyundai New Elantra,"₹22,271/month","₹10,01,199","49,510 km",2nd Owner,November 2016,Petrol,DELHI,Non-Accidental
673,2016 Hyundai Elite i20,"₹9,885/month","₹4,44,399","99,372 km",1st Owner,February 2016,Petrol,DELHI,Non-Accidental
674,2011 Hyundai i10,"₹3,782/month","₹1,70,000","96,464 km",2nd Owner,-,Petrol,DELHI,Non-Accidental
675,2013 Maruti Swift Dzire,"₹7,701/month","₹3,46,199","83,315 km",1st Owner,May 2013,Diesel,DELHI,Non-Accidental
676,2017 Maruti Ciaz,"₹12,697/month","₹5,70,799","69,848 km",1st Owner,March 2017,Diesel,DELHI,Non-Accidental
677,2015 Hyundai Elite i20,"₹12,459/month","₹5,60,099","73,244 km",2nd Owner,February 2015,Diesel,DELHI,Non-Accidental
678,2017 Toyota Innova Crysta,"₹39,551/month","₹17,78,000",-,-,-,-,-,-
679,2014 Maruti Swift Dzire,"₹9,223/month","₹4,14,599","85,535 km",2nd Owner,January 2014,Diesel,DELHI,Non-Accidental
680,2009 Maruti Zen Estilo,"₹3,168/month","₹1,42,399","98,519 km",1st Owner,June 2009,Petrol,DELHI,Non-Accidental
681,2018 Maruti Vitara Brezza,"₹15,133/month","₹6,80,299","60,109 km",1st Owner,March 2018,Diesel,DELHI,Non-Accidental
682,2013 Hyundai Grand i10,"₹7,843/month","₹3,52,599","84,711 km",1st Owner,September 2013,Petrol,DELHI,Non-Accidental
683,2015 Maruti Ciaz,"₹9,832/month","₹4,42,000",-,-,-,-,-,-
684,2014 Maruti Swift,"₹8,273/month","₹3,71,899","86,550 km",1st Owner,-,Diesel,DELHI,Non-Accidental
685,2016 Maruti Alto 800,"₹5,628/month","₹2,53,000","72,098 km",1st Owner,-,Petrol,DELHI,Non-Accidental
686,2014 Renault Scala,"₹6,629/month","₹2,98,000","51,910 km",1st Owner,-,Diesel,DELHI,Non-Accidental
687,2017 Hyundai Creta,"₹17,684/month","₹7,95,000","73,223 km",1st Owner,-,Diesel,DELHI,Non-Accidental
688,2019 Hyundai VENUE,"₹23,690/month","₹10,65,000",-,-,-,-,-,-
689,2015 Maruti Swift,"₹10,297/month","₹4,62,899","63,600 km",1st Owner,June 2015,Diesel,DELHI,Non-Accidental
690,2013 Hyundai i10,"₹5,450/month","₹2,45,000",-,-,-,-,-,-
691,2016 Maruti Wagon R Stingray,"₹8,208/month","₹3,69,000",-,-,-,-,-,-
692,2017 Maruti Alto 800,"₹6,918/month","₹3,10,999","54,041 km",1st Owner,-,Petrol,DELHI,Non-Accidental
693,2017 Ford Ecosport,"₹17,796/month","₹8,00,000",-,-,-,-,-,-
694,2014 Hyundai Santro Xing,"₹5,494/month","₹2,47,000",-,-,-,-,-,-
695,2016 Maruti Vitara Brezza,"₹15,237/month","₹6,85,000","54,741 km",1st Owner,-,Diesel,DELHI,Non-Accidental
696,2014 Maruti Ritz,"₹4,649/month","₹2,09,000",-,-,-,-,-,-
697,2014 Chevrolet Beat,"₹3,755/month","₹1,68,810",-,-,-,-,-,-
698,2017 Maruti Swift,"₹10,010/month","₹4,50,000",-,-,-,-,-,-
699,2016 Honda City,"₹11,729/month","₹5,27,299","99,493 km",2nd Owner,January 2016,Diesel,DELHI,Non-Accidental
700,2017 Mahindra XUV500,"₹27,828/month","₹12,51,000","53,597 km",1st Owner,-,Diesel,DELHI,Non-Accidental
701,2012 Toyota Etios Liva,"₹5,468/month","₹2,45,799","94,952 km",1st Owner,-,Diesel,DELHI,Non-Accidental
702,2018 Ford Ecosport,"₹16,661/month","₹7,49,000",-,-,-,-,-,-
703,2013 Ford Ecosport,"₹11,445/month","₹5,14,499","65,845 km",2nd Owner,October 2013,Petrol,DELHI,Non-Accidental
704,2018 Maruti Vitara Brezza,"₹16,539/month","₹7,43,499","71,192 km",1st Owner,-,Diesel,DELHI,Non-Accidental
705,2014 Honda City,"₹13,569/month","₹6,10,000",-,-,-,-,-,-
706,2016 Volkswagen Polo,"₹9,943/month","₹4,47,000","63,401 km",1st Owner,-,Petrol,DELHI,Non-Accidental
707,2013 Maruti Swift,"₹7,356/month","₹3,30,699","95,554 km",1st Owner,February 2013,Diesel,DELHI,Non-Accidental
708,2014 Honda City,"₹11,144/month","₹5,01,000",-,-,-,-,-,-
709,2011 Honda City,"₹7,296/month","₹3,28,000",-,-,-,-,-,-
710,2012 Maruti Swift Dzire,"₹7,599/month","₹3,41,599","1,10,400 km",-,-,-,-,-
711,2015 Hyundai Eon,"₹5,757/month","₹2,58,799","71,504 km",-,-,-,-,-
712,2016 Maruti Swift,"₹9,676/month","₹4,35,000","53,247 km",-,-,-,-,-
713,2018 Maruti Wagon R 1.0,"₹9,165/month","₹4,12,000","41,263 km",-,-,-,-,-
714,2015 Maruti Swift,"₹10,275/month","₹4,61,899","68,871 km",-,-,-,-,-
715,2018 Maruti Baleno,"₹15,682/month","₹7,05,000",-,-,-,-,-,-
716,2016 Maruti Vitara Brezza,"₹14,737/month","₹6,62,499","92,335 km",-,-,-,-,-
717,2014 Maruti Swift,"₹7,984/month","₹3,58,899","80,976 km",-,-,-,-,-
718,2012 Maruti Swift,"₹6,464/month","₹2,90,599","89,809 km",-,-,-,-,-
719,2015 Hyundai i10,"₹8,204/month","₹3,68,799","61,140 km",1st Owner,January 2015,Petrol,NOIDA,Non-Accidental
720,2019 Jeep Compass,"₹39,818/month","₹17,90,000","20,194 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
721,2018 Maruti Baleno,"₹15,978/month","₹7,18,299","37,904 km",1st Owner,July 2018,Petrol,NOIDA,Non-Accidental
722,2015 Maruti Swift,"₹8,780/month","₹3,94,699","86,072 km",1st Owner,February 2015,Diesel,NOIDA,Non-Accidental
723,2007 Honda CRV,"₹6,028/month","₹2,71,000","86,042 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
724,2016 Maruti Alto 800,"₹5,750/month","₹2,58,499","64,645 km",1st Owner,June 2016,Petrol,NOIDA,Non-Accidental
725,2012 Maruti Swift Dzire,"₹7,060/month","₹3,17,399","1,40,546 km",1st Owner,July 2012,Diesel,NOIDA,Non-Accidental
726,2016 Honda Jazz,"₹11,167/month","₹5,02,000","67,522 km",2nd Owner,-,Petrol,NOIDA,Non-Accidental
727,2015 Maruti Celerio,"₹5,530/month","₹2,48,599","73,484 km",2nd Owner,June 2015,Diesel,NOIDA,Non-Accidental
728,2016 Mahindra Scorpio,"₹19,575/month","₹8,80,000",-,-,-,-,-,-
729,2019 Ford Endeavour,"₹66,711/month","₹29,99,000","29,217 km",1st Owner,-,Diesel,NOIDA,Non-Accidental
730,2015 Hyundai i10,"₹7,316/month","₹3,28,900","58,463 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
731,2013 Maruti Swift,"₹7,345/month","₹3,30,199","84,729 km",1st Owner,-,Diesel,NOIDA,Non-Accidental
732,2016 Maruti Ciaz,"₹13,903/month","₹6,25,000","42,165 km",1st Owner,-,Diesel,NOIDA,Non-Accidental
733,2014 Ford Ecosport,"₹8,851/month","₹3,97,899","1,21,293 km",1st Owner,September 2014,Diesel,NOIDA,Non-Accidental
734,2019 Ford Ecosport,"₹19,353/month","₹8,70,000","36,307 km",1st Owner,-,Petrol,NOIDA,Non-Accidental
735,2015 Hyundai Grand i10,"₹7,160/month","₹3,21,899","1,07,330 km",1st Owner,August 2015,Diesel,NOIDA,Non-Accidental
736,2016 Hyundai Grand i10,"₹8,682/month","₹3,90,299","86,514 km",1st Owner,September 2016,Petrol,NOIDA,Non-Accidental
737,2019 Maruti Ertiga,"₹20,687/month","₹9,30,000",-,-,-,-,-,-
738,2013 Maruti Swift,"₹6,827/month","₹3,06,899","86,036 km",1st Owner,October 2013,Diesel,NOIDA,Non-Accidental
739,2014 Maruti Swift,"₹8,197/month","₹3,68,499","88,382 km",1st Owner,July 2014,Diesel,NOIDA,Non-Accidental
740,2016 Maruti Vitara Brezza,"₹16,590/month","₹7,45,799","59,648 km",1st Owner,-,Diesel,NOIDA,Non-Accidental
741,2016 Ford Ecosport,"₹13,191/month","₹5,93,000","96,177 km",1st Owner,-,Diesel,NOIDA,Non-Accidental
742,2018 Maruti Vitara Brezza,"₹19,686/month","₹8,85,000",-,-,-,-,-,-
743,2016 Maruti Swift,"₹8,965/month","₹4,03,000",-,-,-,-,-,-
744,2013 Maruti Ertiga,"₹7,786/month","₹3,50,000",-,-,-,-,-,-
745,2017 Maruti S Cross,"₹18,498/month","₹8,31,599","86,066 km",1st Owner,October 2017,Diesel,NOIDA,Non-Accidental
746,2008 Toyota Corolla Altis,"₹7,323/month","₹3,29,199","1,09,639 km",4th Owner,December 2008,Petrol + CNG,NOIDA,Non-Accidental
747,2016 Hyundai Creta,"₹19,624/month","₹8,82,199","87,697 km",1st Owner,April 2016,Diesel,NOIDA,Non-Accidental
748,2015 Hyundai Grand i10,"₹8,366/month","₹3,76,099","64,259 km",1st Owner,-,Diesel,NOIDA,Non-Accidental
749,2013 Ford Ecosport,"₹9,545/month","₹4,29,099","92,380 km",2nd Owner,July 2013,Diesel,NOIDA,Non-Accidental
750,2013 Hyundai i10,"₹5,294/month","₹2,38,000",-,-,-,-,-,-
751,2013 Toyota Innova,"₹14,259/month","₹6,40,999","88,190 km",2nd Owner,September 2013,Diesel,NOIDA,Non-Accidental
752,2016 Audi A3,"₹40,503/month","₹18,20,799","76,786 km",1st Owner,March 2016,Petrol,NOIDA,Non-Accidental
753,2015 Mahindra XUV500,"₹19,139/month","₹8,60,399","92,400 km",2nd Owner,October 2015,Diesel,NOIDA,Non-Accidental
754,2014 Honda City,"₹12,724/month","₹5,72,000",-,-,-,-,-,-
755,2018 Maruti Vitara Brezza,"₹16,683/month","₹7,50,000",-,-,-,-,-,-
